product_id,name,description,category,brand,price
114724,Laptop Lenovo Legion 5 15AHP10 83M0002XVN - Đã Kích Hoạt,,Hàng cũ,Lenovo,39490000.0
95077,Smart Tivi Samsung UHD 4K 85 inch 2024 (85DU8000),,Tivi,Samsung,49900000.0
111341,Ốp lưng iPhone 16 Pro Max Wiwu Aramid Armor DCC-209,,Phụ kiện,,990000
65388,Samsung Galaxy Watch5 44mm - Cũ Trầy Xước,,Hàng cũ,,6490000.0
95932,Pin dự phòng Baseus Qpow Pro + Digital Display 10000mAh 22.5W type-C edition,,Phụ kiện,,990000
81009,Loa Bluetooth Edifier Hecate G200,,Âm thanh,,370000
85744,Smart Tivi Samsung QLED 4K 65 inch 2024 (65Q70D),,Tivi,Samsung,26400000.0
111913,Sim 5G VNSKY 6T5G109 8GB/Ngày - Free 6 tháng,,Sim 4G,,790000
111913,Sim 5G VNSKY 6T5G109 8GB/Ngày - Free 6 tháng,,Sim 4G,,790000
94701,Ốp lưng iPhone 16 Pro Max Switcheasy 3D Capital,,Phụ kiện,,550000
112925,Ốp lưng iPhone Air SwitchEasy Ultra Slim With Magsafe,,Phụ kiện,,350000
24340,Dây đeo đồng hồ Garmin Silicon 20mm cho Garmin Venu / 245 / Fenix 6S,,Phụ kiện,,300000
110394,Bàn phím cơ có dây Aula HERO84 hồng gradient,,Phụ kiện,,1690000.0
56302,Tai nghe Bluetooth Apple AirPods Pro 2022 - Cũ Đẹp,,Hàng cũ,,6190000.0
56065,Robot hút bụi Ecovacs Deebot T10 Omni,"Để giúp robot có thể hoạt động ổn định và trơn tru trong thời gian dài, người dùng cần lưu ý một số vấn đề trong quá trình sử dụng. Tìm hiểu về các lưu ý ử dụng robot hút bụi lau nhà Ecovacs tại đây.",Nhà thông minh,,16990000.0
70161,Sạc nhanh Belkin 45W 2 cổng USB-C PD 3.0 PPS GaN,,Phụ kiện,,1290000.0
81075,Máy đọc sách Onyx Boox Palma,,Máy tính bảng,Hãng khác,8390000.0
113442,Dịch vụ gia hạn bảo hành Apple Care+ cho iPhone 17 Pro Max,,Phụ kiện,,5499000.0
59197,Samsung Galaxy A53 5G 8GB 256GB - Cũ Trầy Xước,,Hàng cũ,Samsung,9990000.0
98236,Pin dự phòng Aukey Magnetic 10000mAh 30W PB-MS02 - Cũ,,Hàng cũ,,1600000.0
108163,USB 3.2 Kingston DataTraveler Exodia S DTXS/256GB,,Phụ kiện,,699000
65047,Robot hút bụi lau nhà Eureka Ner 600 - Cũ,,Hàng cũ,,6990000.0
66179,Củ sạc đa năng Aukey PA-TA07 PD35W nhiều cổng,,Phụ kiện,,1090000.0
108406,Ốp lưng kèm dây Samsung Galaxy Z Fold7 chính hãng,,Phụ kiện,,1090000.0
113753,USB Wifi TP-Link AX18000 Archer TX35U Plus,,Phụ kiện,,569000
87437,Máy tính bảng Teclast M50 6GB 128GB - Đã Kích Hoạt,,Hàng cũ,Hãng khác,2990000.0
109431,Cáp Ugreen Uno USB-C To USB-C 100W dài 1M L502,,Phụ kiện,,135000
91749,Miếng dán camera Apple iPhone 16 Pro/16 Pro Max Zeelot Pishield viền màu chống va đập,,Phụ kiện,,400000
98603,Loa Karaoke xách tay ACNOS CS201V,,Âm thanh,,3990000.0
76835,Samsung galaxy S23 Plus 8GB 512GB - Cũ Trầy Xước ,,Hàng cũ,Samsung,29990000.0
44302,Laptop Dell Vostro 3400 70253900 - Cũ trầy xước,,Hàng cũ,Dell,8390000.0
107241,Cáp Pisen Mr White Usb-A To Lightning Dài 1m,,Phụ kiện,,150000
92051,Apple Watch SE 2 2024 40mm (GPS) Viền Nhôm Dây Cao Su - Chính Hãng Đã Kích Hoạt,,Hàng cũ,,5990000.0
94817,Laptop Acer Aspire Lite AL16-51P-55N7 NX.KX0SV.001 - Đã Kích Hoạt,,Hàng cũ,Acer,14990000.0
